700	1397	8
1400	2797	9
2100	4197	10
2800	5597	10
3500	6997	10
4200	8397	12
4900	9797	13
5600	11197	12
6300	12597	12
7000	13997	12
7700	15397	11
8400	16797	10
9100	18197	12
9800	19597	10
10500	20997	11
11200	22397	12
11900	23797	12
12600	25197	12
13300	26597	13
14000	27997	11
14700	29397	13
15400	30797	12
16100	32197	10
16800	33597	13
17500	34997	12
18200	36397	14
18900	37797	13
19600	39197	12
20300	40597	12
21000	41997	13
