700	699
1400	1399
2100	2099
2800	2799
3500	3499
4200	4199
4900	4899
5600	5599
6300	6299
7000	6999
7700	7699
8400	8399
9100	9099
9800	9799
10500	10499
11200	11199
11900	11899
12600	12599
13300	13299
14000	13999
14700	14699
15400	15399
16100	16099
16800	16799
17500	17499
18200	18199
18900	18899
19600	19599
20300	20299
21000	20999
